Surveyor,02-153-6060,34393
Supervisor,78-590-1770,88820
Architect,26-813-5897,135177
Construction Foreman,41-303-3128,82702
Supervisor,12-320-9753,135388
Project Manager,09-424-0046,36548
Project Manager,82-422-6367,100053
Construction Expeditor,37-779-6402,16058
Supervisor,36-893-5058,60223
Subcontractor,85-281-5915,107539
Project Manager,59-219-1439,149845
Supervisor,22-233-0476,28305
Electrician,21-406-9236,57319
Construction Worker,67-550-9433,102627
Engineer,17-852-5183,84991
Construction Worker,66-057-7578,14377
Construction Foreman,71-410-3391,55079
Electrician,15-557-1657,40181
Project Manager,53-699-4261,68898
Construction Manager,21-725-0452,143338
Subcontractor,06-459-3581,116121
Project Manager,33-862-8204,70905
Construction Manager,94-168-6863,60460
Surveyor,08-096-9936,76327
Electrician,18-862-4887,61318
Architect,49-380-5617,65868
Electrician,77-584-2350,23892
Construction Manager,14-625-4536,87855
Project Manager,93-944-7730,35042
Subcontractor,24-461-8332,121646
Estimator,64-690-6386,149875
Electrician,30-320-5183,50024
Surveyor,99-079-3836,50663
Engineer,19-571-7158,29206
Construction Worker,24-628-4189,63696
Construction Worker,48-955-9371,146729
Estimator,19-273-9467,57631
Surveyor,98-482-2197,33967
Supervisor,15-772-6217,112609
Estimator,93-284-8747,10445
Subcontractor,28-822-0803,123009
Estimator,84-662-9898,139786
Project Manager,23-389-3376,27532
Construction Manager,45-056-3315,73804
Construction Worker,33-987-6798,47387
Electrician,04-181-3134,63501
Architect,99-089-1095,38616
Construction Worker,80-642-2247,68186
Construction Manager,80-460-4523,106812
Subcontractor,13-162-5400,110594
Electrician,59-247-2248,133227
Engineer,12-873-0426,49061
Electrician,25-958-2612,58022
Engineer,09-795-6266,99895
Subcontractor,15-558-5983,37846
Construction Foreman,37-452-9049,86779
Construction Foreman,85-917-6763,107950
Engineer,68-937-1800,102704
Construction Manager,25-625-8918,90345
Architect,96-068-2650,107275
Estimator,24-112-2430,144711
Construction Worker,56-649-7028,140533
Subcontractor,19-279-4528,58954
Construction Manager,81-962-4795,133285
Construction Worker,21-872-6789,40537
Supervisor,95-149-0597,148499
Supervisor,76-129-0673,38116
Engineer,89-681-7569,91973
Project Manager,22-220-1837,126904
Construction Foreman,33-468-7362,103271
Construction Expeditor,84-476-3817,77842
Surveyor,60-121-3700,129361
Architect,36-174-0205,27668
Supervisor,95-989-3856,82924
Subcontractor,15-410-2463,74139
Engineer,58-002-3797,131343
Subcontractor,12-140-7361,125546
Construction Worker,33-933-8876,67162
Construction Expeditor,19-769-1448,72142
Engineer,29-385-3803,17222
Supervisor,48-162-5738,147163
Subcontractor,15-407-4995,56964
Engineer,20-492-4634,96518
Subcontractor,87-295-9765,36112
Supervisor,67-003-9034,29160
Surveyor,30-531-7197,118726
Construction Manager,27-240-3883,11780
Subcontractor,10-601-9615,99536
Surveyor,59-349-4886,71792
Construction Expeditor,90-069-0307,126220
Supervisor,44-855-6569,41606
Supervisor,10-525-4260,44389
Construction Worker,07-023-6236,47074
Electrician,84-790-7086,39523
Estimator,48-733-3856,132050
Estimator,34-101-9247,52363
Subcontractor,26-356-6677,49632
Construction Foreman,85-591-2847,142355
Electrician,15-645-6227,11966
Engineer,15-302-4667,22675
Construction Worker,70-712-2023,79186
Construction Worker,19-550-8514,108511
Engineer,58-616-3380,54612
Construction Worker,57-478-1880,57381
Subcontractor,40-149-8848,91817
Surveyor,71-483-6333,118942
Electrician,27-071-8556,145595
Subcontractor,25-689-3089,114255
Subcontractor,26-856-9765,56591
Construction Manager,43-930-0667,83740
Electrician,70-166-7558,42314
Architect,92-739-8426,114673
Subcontractor,71-496-2516,65506
Construction Expeditor,52-362-0722,10675
Engineer,29-283-9611,93421
Electrician,57-460-6899,135295
Architect,60-394-5620,76329
Surveyor,08-428-8744,99107
Subcontractor,89-061-4271,120388
Construction Foreman,30-232-0863,128383
Project Manager,43-360-0788,85732
Architect,37-186-8701,139851
Subcontractor,93-668-0321,148509
Estimator,74-105-9086,79932
Surveyor,77-389-3764,58684
